     D    UP    DW   WPC   CLR     Q
  0000     0     0     0     1  0000
  0000     0     0     0     0  0000
  0000     0     0     0     0  0001
  0000     0     0     0     0  0002
  0010     1     0     1     0  0003
  0000     0     0     0     0  0010
  0000     0     0     0     0  0011
  0000     0     0     0     0  0012
  0020     1     0     1     0  0013
  0000     0     0     0     0  0020
  0000     0     0     0     0  0021
  0000     0     0     0     0  0022
  0000     0     1     0     0  0023
  0000     0     0     0     0  0014
  0000     0     0     0     0  0015
  0000     0     1     0     0  0016
  0000     0     0     0     0  0004
  0000     0     0     0     0  0005
  0002     0     0     1     0  0006
  0000     0     0     0     0  0002
