 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,lcdram
Project Path,C:\Users\Alberto Rios\Documents\IPN\ESCOM\5semestre\Arquitectura\VHDL\LCDRAM
Project Fitted on,Wed May 18 22:06:40 2016

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
1,GND,-,,,,,,
2,TDI,-,,,,,,
3,VCCIO0,-,,,,,,
4,I_O,0,C12,*,LVCMOS18,Output,outContRead0_3_,
5,I_O,0,C10,*,LVCMOS18,Output,outContRead0_2_,
6,I_O,0,C8,*,LVCMOS18,Output,outContRead0_1_,
7,I_O,0,C6,*,LVCMOS18,Output,outContRead0_0_,
8,I_O,0,C4,,,,,
9,I_O,0,C2,,,,,
10,GNDIO0,-,,,,,,
11,I_O,0,D14,,,,,
12,I_O,0,D12,,,,,
13,I_O,0,D10,*,LVCMOS18,Output,outFlagw0,
14,I_O,0,D8,,,,,
15,I_O,0,D6,,,,,
16,I_O,0,D4,,,,,
17,IN0,0,,,,,,
18,NC,-,,,,,,
19,VCCIO0,-,,,,,,
20,IN1,0,,,,,,
21,I_O,0,E2,,,,,
22,I_O,0,E4,,,,,
23,I_O,0,E6,,,,,
24,I_O,0,E8,,,,,
25,I_O,0,E10,,,,,
26,I_O,0,E12,,,,,
27,GNDIO0,-,,,,,,
28,I_O,0,F2,*,LVCMOS18,Output,outContWrite0_3_,
29,I_O,0,F4,*,LVCMOS18,Output,outContWrite0_1_,
30,I_O,0,F6,,,,,
31,I_O,0,F8,,,,,
32,I_O,0,F10,*,LVCMOS18,Output,RW0,
33,I_O,0,F12,*,LVCMOS18,Output,outword0_0_,
34,VCCIO0,-,,,,,,
35,TCK,-,,,,,,
36,VCC,-,,,,,,
37,GND,-,,,,,,
38,IN2,0,,*,LVCMOS18,Input,oscdis0,
39,I_O,0,G12,*,LVCMOS18,Output,outword0_1_,
40,I_O,0,G10,,,,,
41,I_O,0,G8,,,,,
42,I_O,0,G6,*,LVCMOS18,Output,outword0_4_,
43,I_O,0,G4,*,LVCMOS18,Output,outr0_3_,
44,I_O,0,G2,*,LVCMOS18,Output,outr0_2_,
45,IN3,0,,*,LVCMOS18,Input,tmrrst0,
46,GNDIO0,-,,,,,,
47,VCCIO0,-,,,,,,
48,I_O,0,H12,*,LVCMOS18,Output,outr0_1_,
49,I_O,0,H10,*,LVCMOS18,Output,outr0_0_,
50,I_O,0,H8,*,LVCMOS18,Input,inkey0_0_,
51,I_O,0,H6,*,LVCMOS18,Input,inkey0_1_,
52,I_O,0,H4,*,LVCMOS18,Input,inkey0_2_,
53,I_O,0,H2,*,LVCMOS18,Input,inkey0_3_,
54,INCLK1,0,,,,,,
55,GNDIO1,-,,,,,,
56,INCLK2,1,,,,,,
57,VCC,-,,,,,,
58,I_O,1,I2,*,LVCMOS18,Output,inFlagcc0,
59,I_O,1,I4,*,LVCMOS18,Output,inFlagk0,
60,I_O,1,I6,*,LVCMOS18,Output,outFlagk0,
61,I_O,1,I8,*,LVCMOS18,Output,outFlagcc0,
62,I_O,1,I10,,,,,
63,I_O,1,I12,,,,,
64,VCCIO1,-,,,,,,
65,GNDIO1,-,,,,,,
66,I_O,1,J2,,,,,
67,I_O,1,J4,,,,,
68,I_O,1,J6,,,,,
69,I_O,1,J8,,,,,
70,I_O,1,J10,,,,,
71,I_O,1,J12,,,,,
72,IN4,0,,,,,,
73,GND,-,,,,,,
74,TMS,-,,,,,,
75,VCCIO1,-,,,,,,
76,I_O,1,K12,*,LVCMOS18,Input,cdiv00_2_,
77,I_O,1,K10,*,LVCMOS18,Input,cdiv00_0_,
78,I_O,1,K8,,,,,
79,I_O,1,K6,,,,,
80,I_O,1,K4,,,,,
81,I_O,1,K2,*,LVCMOS18,Input,reset0,
82,GNDIO1,-,,,,,,
83,I_O,1,L14,,,,,
84,I_O,1,L12,,,,,
85,I_O,1,L10,,,,,
86,I_O,1,L8,,,,,
87,I_O,1,L6,*,LVCMOS18,Input,wr0,
88,I_O,1,L4,,,,,
89,IN5,1,,,,,,
90,NC,-,,,,,,
91,VCCIO1,-,,,,,,
92,IN6,1,,,,,,
93,I_O,1,M2,,,,,
94,I_O,1,M4,,,,,
95,I_O,1,M6,*,LVCMOS18,Output,outcc0_4_,
96,I_O,1,M8,*,LVCMOS18,Output,outcc0_2_,
97,I_O,1,M10,*,LVCMOS18,Output,outcc0_0_,
98,I_O,1,M12,*,LVCMOS18,Output,clk0,
99,GNDIO1,-,,,,,,
100,I_O,1,N2,*,LVCMOS18,Input,cdiv00_3_,
101,I_O,1,N4,*,LVCMOS18,Input,cdiv00_1_,
102,I_O,1,N6,,,,,
103,I_O,1,N8,,,,,
104,I_O,1,N10,*,LVCMOS18,Output,oscout0,
105,I_O,1,N12,,,,,
106,VCCIO1,-,,,,,,
107,TDO,-,,,,,,
108,VCC,-,,,,,,
109,GND,-,,,,,,
110,IN7,1,,,,,,
111,I_O,1,O12,,,,,
112,I_O,1,O10,,,,,
113,I_O,1,O8,,,,,
114,I_O,1,O6,,,,,
115,I_O,1,O4,,,,,
116,I_O,1,O2,,,,,
117,IN8,1,,,,,,
118,GNDIO1,-,,,,,,
